process,distance,
compt,16.0282,
compt,49.7198,
compt,12.163,
compt,14.2145,
compt,10.7334,
compt,26.8202,
compt,12.4793,
compt,11.9177,
compt,11.7378,
compt,15.163,
compt,17.7437,
compt,12.9658,
compt,28.2039,
compt,19.5402,
compt,27.6794,
compt,21.914,
compt,10.5611,
compt,10.4263,
compt,20.3003,
compt,35.9561,
compt,37.3545,
compt,12.5485,
compt,19.349,
compt,35.9375,
compt,19.9593,
compt,12.1129,
compt,10.4543,
compt,22.3002,
compt,14.4808,
compt,28.0339,
compt,13.2495,
compt,27.5722,
compt,28.7258,
compt,14.2518,
compt,13.9581,
compt,17.5143,
compt,21.4149,
compt,13.9309,
compt,47.9796,
compt,10.3224,
compt,13.752,
compt,36.9181,
compt,31.5356,
compt,13.2427,
compt,26.0275,
compt,16.7389,
compt,13.6564,
compt,14.9509,
compt,18.8951,
compt,10.307,
compt,27.3321,
compt,15.5245,
compt,10.4553,
compt,13.2737,
compt,10.2555,
compt,35.3298,
compt,10.1573,
compt,24.8112,
compt,12.403,
compt,28.6909,
compt,10.1056,
compt,38.2117,
compt,36.3303,
compt,23.2788,
compt,24.3119,
compt,16.7476,
compt,22.9686,
compt,20.332,
compt,11.9314,
compt,13.3229,
compt,11.2882,
compt,19.3229,
compt,23.285,
compt,37.764,
compt,14.3731,
compt,21.1475,
compt,24.7105,
compt,16.7776,
compt,39.6994,
compt,13.3276,
compt,33.0138,
compt,10.8839,
compt,26.7664,
compt,17.8786,
compt,49.9083,
compt,36.2659,
compt,13.0097,
compt,14.8302,
compt,18.0541,
compt,22.3771,
compt,34.8172,
compt,27.8057,
compt,46.3036,
compt,24.7475,
compt,10.3565,
compt,19.0218,
compt,13.7921,
compt,18.0428,
compt,21.6992,
compt,25.4706,
compt,10.4792,
compt,25.43,
compt,23.9609,
compt,22.9003,
compt,20.8708,
compt,10.0953,
compt,13.5545,
compt,12.008,
compt,22.1067,
compt,30.3579,
compt,35.2419,
compt,46.0884,
compt,15.0644,
compt,12.0862,
compt,19.3887,
compt,11.3364,
compt,16.7631,
compt,31.0297,
compt,12.7112,
compt,19.2572,
compt,11.4459,
compt,39.8527,
compt,17.3895,
compt,47.7672,
compt,16.3952,
compt,17.585,
compt,14.386,
compt,22.851,
compt,10.3492,
compt,21.761,
compt,27.3385,
compt,22.6472,
compt,41.2026,
compt,16.5743,
compt,14.0457,
compt,22.124,
compt,14.9053,
compt,45.3669,
compt,67.6116,
compt,18.714,
compt,30.568,
compt,11.2231,
compt,33.6196,
compt,27.4183,
compt,16.0639,
compt,15.4484,
compt,29.1297,
compt,11.2508,
compt,24.7405,
compt,21.4089,
compt,16.9651,
compt,11.1094,
compt,55.4582,
compt,54.5104,
compt,14.217,
compt,18.0425,
compt,19.2552,
compt,55.889,
compt,17.5462,
compt,14.4476,
compt,11.4403,
compt,67.9529,
compt,13.8649,
compt,11.2823,
compt,20.3888,
compt,19.6428,
compt,27.2698,
compt,72.2104,
compt,13.7607,
compt,24.7973,
compt,13.6724,
compt,31.6968,
compt,14.6193,
compt,27.8819,
compt,20.1095,
compt,19.2312,
compt,17.9009,
compt,29.7785,
compt,11.8643,
compt,26.1113,
compt,13.5993,
compt,16.1215,
compt,12.2329,
compt,16.6993,
compt,67.9502,
compt,17.3985,
compt,20.798,
compt,13.7313,
compt,18.5156,
compt,10.9497,
compt,13.6446,
compt,31.1395,
compt,23.9531,
compt,31.5754,
compt,22.8589,
compt,13.1414,
compt,35.9754,
compt,26.3777,
compt,11.1026,
compt,11.3222,
compt,21.4973,
compt,36.9166,
compt,12.383,
compt,26.8788,
compt,30.9009,
compt,21.6508,
compt,12.0705,
compt,20.957,
compt,10.7732,
compt,10.5862,
compt,19.9,
compt,15.2496,
compt,27.2805,
compt,32.0963,
compt,26.8322,
compt,29.0946,
compt,16.433,
compt,19.4609,
compt,26.4857,
compt,27.4595,
compt,11.5612,
compt,15.1765,
compt,24.688,
compt,18.1487,
compt,22.4122,
compt,17.6713,
compt,19.0628,
compt,30.5424,
compt,23.9578,
compt,37.6055,
compt,16.1348,
compt,22.7669,
compt,11.861,
compt,19.1492,
compt,12.6964,
compt,16.9979,
compt,29.3814,
compt,18.2487,
compt,23.4466,
compt,20.7307,
compt,29.3274,
compt,10.8138,
compt,16.8798,
compt,32.8001,
compt,19.0563,
compt,21.0141,
compt,16.1906,
compt,24.9874,
compt,14.7742,
compt,11.4698,
compt,11.7043,
compt,10.0921,
compt,17.1338,
compt,13.1468,
compt,19.0459,
compt,27.6584,
compt,12.361,
compt,26.2613,
compt,11.3163,
compt,25.7492,
compt,21.5571,
compt,14.886,
compt,15.8433,
compt,24.3861,
compt,14.1102,
compt,17.2428,
compt,24.8866,
compt,11.0711,
compt,14.6088,
compt,16.1226,
compt,24.1168,
compt,12.3795,
compt,35.6599,
compt,26.3464,
compt,13.947,
compt,14.1356,
compt,22.7613,
compt,13.0671,
compt,20.8108,
compt,10.2402,
compt,10.2477,
compt,16.905,
compt,21.3592,
compt,31.7402,
compt,13.7664,
compt,12.1476,
compt,18.6891,
compt,26.0066,
compt,20.2438,
compt,18.0778,
compt,11.977,
compt,15.9694,
compt,24.3208,
compt,34.9037,
compt,11.3457,
compt,31.8774,
compt,10.5513,
compt,34.6889,
compt,10.2787,
compt,16.8773,
compt,27.6318,
compt,57.7467,
compt,80.2318,
compt,12.0953,
compt,44.5419,
compt,12.6583,
compt,18.0762,
compt,11.9775,
compt,11.1581,
compt,11.5206,
compt,17.8536,
compt,14.839,
compt,11.7589,
compt,19.4947,
compt,21.5602,
compt,23.6592,
compt,38.0393,
compt,19.8515,
compt,13.3545,
compt,44.201,
compt,29.5041,
compt,11.5947,
compt,35.8809,
compt,14.8127,
compt,53.6974,
compt,26.5903,
compt,17.3339,
compt,14.2201,
compt,11.9538,
