energy;cx;cx_err
6975.8 eV ; 0.45697 b ; 0.054123 b
7935.6 eV ; 0.38548 b ; 0.26834 b
9103.7 eV ; 0.38252 b ; 0.030284 b
10420 eV ; 0.40533 b ; 0.020142 b
11162 eV ; 0.75165 b ; 0.18171 b
11172 eV ; 1.1956 b ; 0.34469 b
11176 eV ; 2.1708 b ; 0.57464 b
11178 eV ; 4.5822 b ; 0.65635 b
11180 eV ; 3.9447 b ; 0.89498 b
11181 eV ; 10.763 b ; 2.4543 b
11181 eV ; 7.0645 b ; 1.4563 b
11182 eV ; 5.2128 b ; 1.4173 b
11183 eV ; 3.5937 b ; 1.1856 b
11183 eV ; 3.7827 b ; 1.2342 b
11184 eV ; 3.6637 b ; 0.70749 b
11186 eV ; 3.4662 b ; 0.67398 b
11188 eV ; 1.7935 b ; 0.34322 b
11191 eV ; 0.60181 b ; 0.32483 b
11196 eV ; 1.1068 b ; 0.25668 b
11210 eV ; 0.48369 b ; 0.13659 b
12072 eV ; 0.39298 b ; 0.016588 b
14056 eV ; 0.39615 b ; 0.013744 b
16692 eV ; 0.36206 b ; 0.012038 b
17926 eV ; 0.26741 b ; 0.096540 b
17942 eV ; 0.54463 b ; 0.26223 b
17959 eV ; 1.0267 b ; 0.27450 b
17965 eV ; 1.8666 b ; 0.40664 b
17967 eV ; 2.9021 b ; 0.41554 b
17970 eV ; 4.8056 b ; 0.45095 b
17973 eV ; 6.8487 b ; 0.53948 b
17975 eV ; 7.0272 b ; 0.52223 b
17978 eV ; 5.1505 b ; 0.42114 b
17981 eV ; 3.7916 b ; 0.36265 b
17983 eV ; 2.1349 b ; 0.32986 b
17986 eV ; 1.6518 b ; 0.29934 b
17991 eV ; 0.31861 b ; 0.34863 b
17995 eV ; 0.13691 b ; 0.29450 b
18003 eV ; 0.22323 b ; 0.17853 b
18017 eV ; 0.094305 b ; 0.15355 b
18049 eV ; 0.39176 b ; 0.083318 b
18144 eV ; 0.35720 b ; 0.043175 b
18284 eV ; 0.40284 b ; 0.042227 b
19087 eV ; 0.38031 b ; 0.012844 b
20588 eV ; 0.32296 b ; 0.011706 b
22316 eV ; 0.36285 b ; 0.010711 b
24272 eV ; 0.32937 b ; 0.0091943 b
26139 eV ; 0.31890 b ; 0.013981 b
29538 eV ; 0.25504 b ; 0.026777 b
32026 eV ; 0.25404 b ; 0.0096209 b
35354 eV ; 0.22762 b ; 0.0087204 b
39404 eV ; 0.19332 b ; 0.0069194 b
43221 eV ; 0.18467 b ; 0.0070142 b
46949 eV ; 0.13593 b ; 0.0064455 b
51119 eV ; 0.093564 b ; 0.0067299 b
55904 eV ; 0.079394 b ; 0.0057346 b
58790 eV ; 0.095151 b ; 0.013744 b
59211 eV ; 0.18686 b ; 0.079810 b
59250 eV ; 0.36168 b ; 0.066825 b
59275 eV ; 1.5539 b ; 0.16512 b
59282 eV ; 2.0282 b ; 0.16384 b
59290 eV ; 3.3610 b ; 0.16791 b
59298 eV ; 5.5410 b ; 0.19156 b
59306 eV ; 7.9631 b ; 0.23308 b
59314 eV ; 7.4118 b ; 0.23066 b
59322 eV ; 5.0564 b ; 0.19488 b
59330 eV ; 3.0815 b ; 0.16417 b
59338 eV ; 1.4490 b ; 0.15062 b
59346 eV ; 0.91204 b ; 0.13844 b
59354 eV ; 0.37139 b ; 0.13474 b
59362 eV ; 0.56152 b ; 0.13327 b
59386 eV ; 0.23554 b ; 0.060900 b
59486 eV ; 0.17814 b ; 0.030474 b
60179 eV ; 0.11475 b ; 0.010995 b
60823 eV ; 0.16582 b ; 0.043081 b
60880 eV ; 0.43058 b ; 0.066209 b
60901 eV ; 0.78730 b ; 0.13673 b
60909 eV ; 1.0544 b ; 0.13232 b
60917 eV ; 1.1723 b ; 0.13019 b
60925 eV ; 1.1319 b ; 0.12853 b
60934 eV ; 0.51083 b ; 0.13294 b
60942 eV ; 0.84261 b ; 0.13474 b
60950 eV ; 0.34400 b ; 0.13540 b
60959 eV ; 0.24249 b ; 0.13682 b
60967 eV ; 0.093362 b ; 0.14128 b
60992 eV ; 0.19036 b ; 0.061896 b
61052 eV ; 0.14347 b ; 0.042512 b
61182 eV ; 0.19991 b ; 0.028957 b
61671 eV ; 0.19767 b ; 0.013270 b
62869 eV ; 0.23267 b ; 0.010095 b
64528 eV ; 0.38721 b ; 0.010190 b
66262 eV ; 0.65087 b ; 0.0097630 b
67971 eV ; 1.1438 b ; 0.0099052 b
69292 eV ; 1.7754 b ; 0.013697 b
70226 eV ; 2.5218 b ; 0.013649 b
71191 eV ; 3.6626 b ; 0.014455 b
72170 eV ; 5.5042 b ; 0.016066 b
73159 eV ; 8.3364 b ; 0.019621 b
73865 eV ; 11.593 b ; 0.058057 b
74432 eV ; 14.901 b ; 0.085308 b
74913 eV ; 18.467 b ; 0.095972 b
75395 eV ; 22.928 b ; 0.15095 b
75889 eV ; 26.638 b ; 0.24919 b
76403 eV ; 29.839 b ; 0.38891 b
76919 eV ; 32.256 b ; 0.59123 b
77440 eV ; 31.848 b ; 0.51128 b
77959 eV ; 30.398 b ; 0.41171 b
78492 eV ; 28.034 b ; 0.27991 b
79012 eV ; 25.361 b ; 0.19062 b
79554 eV ; 22.315 b ; 0.12517 b
80106 eV ; 19.259 b ; 0.084739 b
80648 eV ; 16.650 b ; 0.065261 b
81224 eV ; 14.363 b ; 0.046777 b
81771 eV ; 12.617 b ; 0.038815 b
82708 eV ; 10.149 b ; 0.023555 b
84412 eV ; 7.3861 b ; 0.024171 b
85895 eV ; 5.9372 b ; 0.017299 b
87474 eV ; 4.8268 b ; 0.015450 b
89135 eV ; 4.0530 b ; 0.014028 b
89976 eV ; 3.8125 b ; 0.090284 b
90005 eV ; 4.1996 b ; 0.15545 b
90020 eV ; 4.6169 b ; 0.15246 b
90035 eV ; 5.0479 b ; 0.15479 b
90050 eV ; 6.2681 b ; 0.16896 b
90065 eV ; 6.3786 b ; 0.17019 b
90080 eV ; 4.9324 b ; 0.15976 b
90095 eV ; 4.4095 b ; 0.14967 b
90109 eV ; 3.8424 b ; 0.14403 b
90124 eV ; 3.9828 b ; 0.14227 b
90169 eV ; 3.7515 b ; 0.065782 b
90664 eV ; 3.5182 b ; 0.019100 b
91546 eV ; 3.2394 b ; 0.017962 b
91995 eV ; 3.2346 b ; 0.076730 b
92031 eV ; 3.3077 b ; 0.10844 b
92053 eV ; 3.6871 b ; 0.10967 b
92076 eV ; 3.8484 b ; 0.11607 b
92100 eV ; 3.6120 b ; 0.11498 b
92123 eV ; 3.2590 b ; 0.10981 b
92145 eV ; 3.1028 b ; 0.10986 b
92195 eV ; 3.1157 b ; 0.059810 b
92465 eV ; 3.0431 b ; 0.023602 b
92963 eV ; 2.9203 b ; 0.023270 b
93211 eV ; 2.9794 b ; 0.095972 b
93242 eV ; 3.2809 b ; 0.096398 b
93262 eV ; 4.0938 b ; 0.20246 b
93270 eV ; 4.1263 b ; 0.20251 b
93278 eV ; 4.5425 b ; 0.20336 b
93285 eV ; 4.1896 b ; 0.19621 b
93293 eV ; 3.8177 b ; 0.19095 b
93301 eV ; 3.4770 b ; 0.18450 b
93309 eV ; 3.4065 b ; 0.18204 b
93317 eV ; 3.0629 b ; 0.18204 b
93325 eV ; 2.7191 b ; 0.18076 b
93332 eV ; 2.9362 b ; 0.18626 b
93348 eV ; 2.8910 b ; 0.11147 b
93379 eV ; 2.8838 b ; 0.086019 b
93477 eV ; 2.9024 b ; 0.042085 b
94205 eV ; 2.7343 b ; 0.014550 b
95552 eV ; 2.4952 b ; 0.015071 b
96324 eV ; 2.4030 b ; 0.037062 b
96472 eV ; 2.3914 b ; 0.086682 b
96496 eV ; 3.2497 b ; 0.18853 b
96505 eV ; 3.4880 b ; 0.19555 b
96513 eV ; 3.6528 b ; 0.19464 b
96521 eV ; 4.3508 b ; 0.21393 b
96529 eV ; 5.0733 b ; 0.22180 b
96538 eV ; 5.7427 b ; 0.23474 b
96546 eV ; 5.3580 b ; 0.23431 b
96554 eV ; 4.7377 b ; 0.22043 b
96562 eV ; 3.9251 b ; 0.21801 b
96571 eV ; 3.1356 b ; 0.20735 b
96579 eV ; 2.9515 b ; 0.21152 b
96587 eV ; 2.2047 b ; 0.20592 b
96612 eV ; 2.3175 b ; 0.094929 b
96653 eV ; 2.2592 b ; 0.091896 b
96800 eV ; 2.2801 b ; 0.035640 b
98057 eV ; 2.1792 b ; 0.012085 b
100400 eV ; 1.9430 b ; 0.011422 b
101690 eV ; 1.7876 b ; 0.032749 b
101850 eV ; 1.8673 b ; 0.079242 b
101910 eV ; 2.2957 b ; 0.077867 b
101940 eV ; 3.6823 b ; 0.19213 b
101950 eV ; 4.9579 b ; 0.21066 b
101950 eV ; 4.2423 b ; 0.20275 b
101960 eV ; 6.2607 b ; 0.23256 b
101970 eV ; 8.1362 b ; 0.26256 b
101980 eV ; 9.3334 b ; 0.28796 b
101990 eV ; 8.9292 b ; 0.27768 b
102000 eV ; 8.6474 b ; 0.27066 b
102010 eV ; 6.5223 b ; 0.23844 b
102020 eV ; 5.2386 b ; 0.21673 b
102030 eV ; 3.6278 b ; 0.19237 b
102030 eV ; 4.1323 b ; 0.20498 b
102040 eV ; 2.5975 b ; 0.18882 b
102050 eV ; 2.6338 b ; 0.18194 b
102060 eV ; 2.1776 b ; 0.18024 b
102070 eV ; 2.3331 b ; 0.12237 b
102100 eV ; 2.1909 b ; 0.097915 b
102150 eV ; 2.0348 b ; 0.057062 b
102240 eV ; 1.8599 b ; 0.058057 b
102380 eV ; 1.8637 b ; 0.041137 b
103220 eV ; 1.7751 b ; 0.014408 b
104670 eV ; 1.6488 b ; 0.013365 b
105510 eV ; 1.6223 b ; 0.038009 b
105620 eV ; 1.5468 b ; 0.082512 b
105660 eV ; 1.9043 b ; 0.084455 b
105700 eV ; 2.1085 b ; 0.092417 b
105740 eV ; 1.8052 b ; 0.091280 b
105770 eV ; 1.7063 b ; 0.088009 b
105810 eV ; 1.4806 b ; 0.088389 b
105850 eV ; 1.7003 b ; 0.087962 b
106060 eV ; 1.5739 b ; 0.027014 b
